List Item,Data,Section,Metric,Definition,Playabets Data Values, Dashboard Values ,Actual Difference,% Difference,Additional Notes,March 01 - March 31 for Data Checking Needed,Brad comments,Marilu Comments,STATUS,
30,,Acquisition Dashboard,ROI,Return on Investment - revenue generated versus marketing cost. Calculation: ((Revenue - Marketing Spend) / Marketing Spend) * 100. Expressed as percentage,,,,,Confirm Data Source,X,Let's put on hold till we finalize above,,To discuss,
32,,Acquisition Dashboard,Avg FTD Value,Average value of first deposit per channel. Calculation: Total First Deposits Value / Number of FTDs,,,,,Confirm Data Source,X,Let's put on hold till we finalize above,,To discuss,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,CSV Export,,,,,,,,,,,,
,,Metric,March,,,,,,,,,,,
,,Registrations,41 324.00,,,,,,,,,,,
,,FTDs,10 268.00,,,,,,,,,,,
,,FTD Conversion,19.90%,,,,,,,,,,,
,,Active Players (Sports),5 708.00,,,,,,,,,,,
,,Active Players (Casino),30 172.00,,,,,,,,,,,
,,Total Turnover,R675 564 031.00,,,,,,,,,,,
,,Real Money Turnover,R651 770 470.00,,,,,,,,,,,
,,Bonus Money Turnover,R22 877 970.00,,,,,,,,,,,
,,Total Winnings,R657 604 636.00,,,,,,,,,,,
,,Total GGR,R17 959 395.00,,,,,,,,,,,
,,Real Money GGR,R16 821 121.00,,,,,,,,,,,
,,Bonus Money GGR,R977 019.00,,,,,,,,,,,
,,NGR,R14 568 338.00,,,,,,,,,,,
,,Hold / Margin %,2.70%,,,,,,,,,,,
,,Bonus Issued,R3 448 194.00,,,,,,,,,,,
,,Bonus Converted,R2 252 784.00,,,,,,,,,,,
,,APD (NGR/Depositors),482,,,,,,,,,,,
,,Avg FTD Value,R11 066.00,,,,,,,,,,,
,,Depositors,30 231.00,,,,,,,,,,,
,,APD (NGR/Depositors),482,,,,,,,,,,,
,,Turnover / Deposits,6,,,,,,,,,,,
